symbol,datetime,open,high,low,close,volume
AAPL,2023-04-20 22:00:00,165.05,166.4521,164.49,165.02,58337341
AAPL,2023-04-23 22:00:00,165.0,165.6,163.89,165.33,41949581
AAPL,2023-04-24 22:00:00,165.19,166.305,163.73,163.77,48714063
AAPL,2023-04-25 22:00:00,163.055,165.28,162.8,163.76,45498796
AAPL,2023-04-26 22:00:00,165.19,168.56,165.19,168.41,64902329
AAPL,2023-04-27 22:00:00,168.49,169.85,167.8801,169.68,55275851
AAPL,2023-04-30 22:00:00,169.28,170.45,168.64,169.59,52472936
AAPL,2023-05-01 22:00:00,170.09,170.35,167.54,168.54,48425696
AAPL,2023-05-02 22:00:00,169.5,170.92,167.16,167.45,65136018
AAPL,2023-05-03 22:00:00,164.89,167.04,164.31,165.79,81235427
AAPL,2023-05-04 22:00:00,170.975,174.3,170.76,173.57,113453171
AAPL,2023-05-07 22:00:00,172.48,173.85,172.11,173.5,55962793
AAPL,2023-05-08 22:00:00,173.05,173.54,171.6,171.77,45326874
AAPL,2023-05-09 22:00:00,173.02,174.03,171.9,173.555,53724501
AAPL,2023-05-10 22:00:00,173.85,174.59,172.17,173.75,49514676
AAPL,2023-05-11 22:00:00,173.62,174.06,171.0,172.57,45533138
AAPL,2023-05-14 22:00:00,173.16,173.21,171.47,172.07,37266659
AAPL,2023-05-15 22:00:00,171.99,173.1383,171.7991,172.07,42110293
AAPL,2023-05-16 22:00:00,171.71,172.925,170.4201,172.69,57951604
AAPL,2023-05-17 22:00:00,173.0,175.24,172.58,175.05,65496657
AAPL,2023-05-18 22:00:00,176.39,176.39,174.94,175.16,55809475
AAPL,2023-05-21 22:00:00,173.98,174.71,173.45,174.2,43570932
AAPL,2023-05-22 22:00:00,173.13,173.3794,171.275,171.56,50747263
AAPL,2023-05-23 22:00:00,171.09,172.4183,170.52,171.84,45143488
AAPL,2023-05-24 22:00:00,172.41,173.895,171.69,172.99,56058258
AAPL,2023-05-25 22:00:00,173.32,175.77,173.11,175.43,54834975
AAPL,2023-05-29 22:00:00,176.96,178.99,176.57,177.3,55964401
AAPL,2023-05-30 22:00:00,177.325,179.35,176.76,177.25,99625288
AAPL,2023-05-31 22:00:00,177.7,180.12,176.9306,180.09,68901809
AAPL,2023-06-01 22:00:00,181.03,181.78,179.26,180.95,61996913
AAPL,2023-06-04 22:00:00,182.63,184.951,178.035,179.58,121946497
AAPL,2023-06-05 22:00:00,179.965,180.12,177.43,179.21,64848374
AAPL,2023-06-06 22:00:00,178.44,181.21,177.32,177.82,61944615
AAPL,2023-06-07 22:00:00,177.895,180.84,177.46,180.57,50214881
AAPL,2023-06-08 22:00:00,181.5,182.23,180.63,180.96,48899973
AAPL,2023-06-11 22:00:00,181.27,183.89,180.97,183.79,54754995
AAPL,2023-06-12 22:00:00,182.8,184.15,182.44,183.31,54929129
AAPL,2023-06-13 22:00:00,183.37,184.39,182.02,183.95,57462882
AAPL,2023-06-14 22:00:00,183.96,186.52,183.78,186.01,65433166
AAPL,2023-06-15 22:00:00,186.73,186.99,184.27,184.92,101256225
AAPL,2023-06-19 22:00:00,184.41,186.1,184.41,185.01,49799092
AAPL,2023-06-20 22:00:00,184.9,185.41,182.5901,183.96,49515697
AAPL,2023-06-21 22:00:00,183.74,187.045,183.67,187.0,51245327
AAPL,2023-06-22 22:00:00,185.55,187.56,185.01,186.68,53116996
AAPL,2023-06-25 22:00:00,186.83,188.05,185.23,185.27,48088661
AAPL,2023-06-26 22:00:00,185.89,188.39,185.67,188.06,50730846
AAPL,2023-06-27 22:00:00,187.93,189.9,187.6,189.25,51216801
AAPL,2023-06-28 22:00:00,189.08,190.07,188.94,189.59,46347308
AAPL,2023-06-29 22:00:00,191.63,194.48,191.26,193.97,85213216
